project_id,project_title,pdf_pages,asset_index,asset_id,zip_path,format,width,height,bytes,recommended_usage,confidence,reason,preview_file
profile,Roy Xiang Profile,[3],16,8cb5304fbf61be0d88bfd307d53e60bb0cb5d2ad,images/8cb5304fbf61be0d88bfd307d53e60bb0cb5d2ad,JPEG,3132,3920,8839992,cover,high,Portrait photo matches PDF page 3 profile section.,recommended_assets/profile__cover__asset016__8cb5304fbf.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],1,3ec50caba7236ed17cf72f61661caefb3fcc1b5a,images/3ec50caba7236ed17cf72f61661caefb3fcc1b5a,GIF,1920,1080,98885290,cover,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__cover__asset001__3ec50caba7.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],2,16fe5fd7854202ec3313342e7426dc2ef5bd8fdf,images/16fe5fd7854202ec3313342e7426dc2ef5bd8fdf,GIF,1280,725,53139020,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset002__16fe5fd785.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],3,dca2e63334fc42f0ced72d7138263c89ab53646c,images/dca2e63334fc42f0ced72d7138263c89ab53646c,GIF,1280,725,48342892,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset003__dca2e63334.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],4,5c71991f5a4f6b01660695db9dc1520aab5f0997,images/5c71991f5a4f6b01660695db9dc1520aab5f0997,GIF,800,453,34578753,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset004__5c71991f5a.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],35,1a889d029e0ab5795dae7ffebcdad36f9b1b02c5,images/1a889d029e0ab5795dae7ffebcdad36f9b1b02c5,PNG,1920,1080,2088729,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset035__1a889d029e.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],62,5fe2c39a2f4aef38562a65f5175180edfe6dcb65,images/5fe2c39a2f4aef38562a65f5175180edfe6dcb65,PNG,1280,725,964445,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset062__5fe2c39a2f.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],70,c59ff0d431fe0460731828f8f5ee5ca98ad43e97,images/c59ff0d431fe0460731828f8f5ee5ca98ad43e97,PNG,1280,725,742967,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset070__c59ff0d431.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],87,3298f2d10a5f362f3a8fb271295debbd644bba31,images/3298f2d10a5f362f3a8fb271295debbd644bba31,PNG,800,453,359090,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset087__3298f2d10a.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],100,9fbd16ccd44267960a231ef6063275c000a2f14b,images/9fbd16ccd44267960a231ef6063275c000a2f14b,PNG,480,270,219443,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset100__9fbd16ccd4.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],115,abd29642dad0dc26042ce224844912ee2e3d7cd6,images/abd29642dad0dc26042ce224844912ee2e3d7cd6,PNG,400,227,156960,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset115__abd29642da.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],156,46bae0ce0c4a43605cb88145741af82685c76014,images/46bae0ce0c4a43605cb88145741af82685c76014,PNG,320,182,98288,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset156__46bae0ce0c.jpg
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,[5],163,42bbbb6ceceeaaa919a15e7bceb3d90547f893df,images/42bbbb6ceceeaaa919a15e7bceb3d90547f893df,PNG,320,182,88174,gallery,high,Recruitment/HIRING layouts and worker imagery match PDF page 5 LinkedIn HR Gen-AI visuals.,recommended_assets/gtm_hr_gen_ai_linkedin__gallery__asset163__42bbbb6cec.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],26,b0a9ec6077d91fab954e34cd3d73410d929f2b8d,images/b0a9ec6077d91fab954e34cd3d73410d929f2b8d,PNG,1030,4096,3346828,cover,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__cover__asset026__b0a9ec6077.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],34,1be755256ded9e751e86cb9b8775e357f8497fe2,images/1be755256ded9e751e86cb9b8775e357f8497fe2,PNG,1920,1080,2163300,gallery,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__gallery__asset034__1be755256d.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],57,2677573a899120b63747efab04ef5ca34d672b0f,images/2677573a899120b63747efab04ef5ca34d672b0f,PNG,1142,1082,1063772,gallery,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__gallery__asset057__2677573a89.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],63,93d599265b375e21803d08a06173471632af2e87,images/93d599265b375e21803d08a06173471632af2e87,PNG,1080,1920,930548,gallery,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__gallery__asset063__93d599265b.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],108,a5e91795e8e0d14e551e2a186b8840e220368573,images/a5e91795e8e0d14e551e2a186b8840e220368573,PNG,480,270,186834,gallery,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__gallery__asset108__a5e91795e8.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],131,ab5d3f7ac76ae117c6802c6aa5cab12ead4f631a,images/ab5d3f7ac76ae117c6802c6aa5cab12ead4f631a,PNG,270,480,124146,gallery,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__gallery__asset131__ab5d3f7ac7.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],155,4e9ba3dfa8be5cfb07571ed1c9c08ea6a75c9199,images/4e9ba3dfa8be5cfb07571ed1c9c08ea6a75c9199,PNG,246,512,100756,gallery,high,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__gallery__asset155__4e9ba3dfa8.jpg
gtm_linkedin_creative_videos,LinkedIn Creative Videos,[6],47,d15fe79e7178671752761a0041d8495f915768c9,images/d15fe79e7178671752761a0041d8495f915768c9,PNG,2012,1090,1351944,secondary,medium,"LinkedIn post screenshots, Dubai/ADIPEC video posts, and cinematic video stills match PDF page 6 creative video examples.",recommended_assets/gtm_linkedin_creative_videos__secondary__asset047__d15fe79e71.jpg
gtm_adipec_exhibition,ADIPEC Exhibition,[7],31,ac1224b87f2ffeb9dfadd4d132f2a9dedc2faba8,images/ac1224b87f2ffeb9dfadd4d132f2a9dedc2faba8,PNG,1702,1126,2647665,cover,high,ADIPEC booth render and LinkedIn event posts match PDF page 7 exhibition case.,recommended_assets/gtm_adipec_exhibition__cover__asset031__ac1224b87f.jpg
gtm_adipec_exhibition,ADIPEC Exhibition,[7],52,6977ea1d50e490c40accb9b527d3d8e2e22b421e,images/6977ea1d50e490c40accb9b527d3d8e2e22b421e,PNG,1126,1076,1211997,gallery,high,ADIPEC booth render and LinkedIn event posts match PDF page 7 exhibition case.,recommended_assets/gtm_adipec_exhibition__gallery__asset052__6977ea1d50.jpg
gtm_adipec_exhibition,ADIPEC Exhibition,[7],58,785f4377d8b0a0b5d1a0ad25dbac404177bd9000,images/785f4377d8b0a0b5d1a0ad25dbac404177bd9000,PNG,1158,1076,1049998,gallery,high,ADIPEC booth render and LinkedIn event posts match PDF page 7 exhibition case.,recommended_assets/gtm_adipec_exhibition__gallery__asset058__785f4377d8.jpg
gtm_adipec_exhibition,ADIPEC Exhibition,[7],102,2f5e95a4d4a0f68b74f98ca7a1af72710a1472db,images/2f5e95a4d4a0f68b74f98ca7a1af72710a1472db,PNG,426,282,210532,gallery,high,ADIPEC booth render and LinkedIn event posts match PDF page 7 exhibition case.,recommended_assets/gtm_adipec_exhibition__gallery__asset102__2f5e95a4d4.jpg
gtm_adipec_exhibition,ADIPEC Exhibition,[7],129,a86115b6d732d7455a4c92cfbaacfc2941a1f1d4,images/a86115b6d732d7455a4c92cfbaacfc2941a1f1d4,PNG,282,269,126121,gallery,high,ADIPEC booth render and LinkedIn event posts match PDF page 7 exhibition case.,recommended_assets/gtm_adipec_exhibition__gallery__asset129__a86115b6d7.jpg
gtm_adipec_exhibition,ADIPEC Exhibition,[7],137,2063321bc1b6ba13ff1502b1abd5331652aa2f34,images/2063321bc1b6ba13ff1502b1abd5331652aa2f34,PNG,290,269,120035,gallery,high,ADIPEC booth render and LinkedIn event posts match PDF page 7 exhibition case.,recommended_assets/gtm_adipec_exhibition__gallery__asset137__2063321bc1.jpg
